日期,开始时间,结束时间,出发线路,终到线路,起始站,终到站,客流量
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,亦庄线,亦庄线,小红门,小红门,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,亦庄线,1-八通线,小红门,王府井,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,亦庄线,10号线,小红门,农业展览馆,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,亦庄线,10号线,小红门,十里河,5.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,亦庄线,2号线,小红门,北京站,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,亦庄线,5号线,小红门,东单,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,亦庄线,5号线,小红门,天通苑北,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,亦庄线,5号线,小红门,崇文门,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,昌平线,六道口,六道口,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,昌平线,六道口,昌平西山口,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,昌平线,六道口,沙河,4.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,昌平线,六道口,西二旗,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,10号线,六道口,十里河,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,10号线,六道口,团结湖,7.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,10号线,六道口,牡丹园,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,昌平线,学知园,六道口,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,昌平线,学知园,学知园,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,昌平线,学知园,学院桥,7.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,昌平线,学知园,沙河,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,昌平线,学知园,西二旗,3.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,10号线,学知园,农业展览馆,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,10号线,学知园,团结湖,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,15号线,学知园,奥林匹克公园,4.0
